"","OE","DE-Prog","IK/EK","OEE","SR-1","SR-2","SI-1","SI-2","SI-3","PA-1","PA-2","AM-1","AM-2"
"103","negative regulation of hemopoiesis","plasma membrane bounded cell projection organization","regulation of neuron differentiation",NA,"positive regulation of signal transduction","cellular component organization or biogenesis","negative regulation of cellular macromolecule biosynthetic process","developmental cell growth",NA,"cytoskeleton-dependent intracellular transport",NA,"negative regulation of neuron projection development",NA
"104",NA,"regulation of T cell activation","regulation of Wnt signaling pathway",NA,"regulation of signaling","membrane assembly","regulation of cytoskeleton organization","negative regulation of developmental growth",NA,"vesicle localization",NA,"enamel mineralization",NA
"105",NA,"dendritic cell migration","embryonic digestive tract morphogenesis",NA,"regulation of locomotion","negative regulation of cellular process","response to growth factor","positive regulation of cellular metabolic process",NA,"regulation of cellular component movement",NA,"negative regulation of amyloid precursor protein catabolic process",NA
"106",NA,"intermediate filament organization","ureteric bud morphogenesis",NA,"developmental process","regulation of cation channel activity","negative regulation of protein polymerization","wound healing",NA,"branching involved in blood vessel morphogenesis",NA,"amyloid fibril formation",NA
"107",NA,"RNA polymerase II preinitiation complex assembly","nephron development",NA,"negative regulation of vasculature development","regulation of fibroblast growth factor receptor signaling pathway","telomere organization","epidermal growth factor receptor signaling pathway",NA,"positive regulation of filopodium assembly",NA,"supramolecular fiber organization",NA
"108",NA,"localization","mesonephric tubule morphogenesis",NA,"coronary vasculature morphogenesis","postsynaptic specialization organization","response to cytokine","negative regulation of organ growth",NA,"positive regulation of plasma membrane bounded cell projection assembly",NA,"regulation of cell projection organization",NA
"109",NA,"cell morphogenesis involved in neuron differentiation","axon development",NA,"platelet activation","semi-lunar valve development","negative regulation of cellular process","developmental growth involved in morphogenesis",NA,"regulation of multicellular organismal process",NA,"regulation of apoptotic signaling pathway",NA
"110",NA,"positive regulation of T cell proliferation","animal organ formation",NA,"response to fibroblast growth factor","regulation of presynapse assembly","positive regulation of cellular component movement","heart development",NA,"cerebellum development",NA,"negative regulation of release of cytochrome c from mitochondria",NA
"111",NA,"regulation of leukocyte migration","cranial skeletal system development",NA,"regulation of cellular component movement","neural tube closure","amide transport","negative regulation of growth",NA,"cerebellar Purkinje cell layer development",NA,"response to growth factor",NA
"112",NA,"cell projection organization","stem cell differentiation",NA,"cellular response to ammonium ion","luteolysis","protein secretion","axon extension",NA,"regulation of axon extension involved in axon guidance",NA,"negative regulation of neurogenesis",NA
"113",NA,"muscle structure development","positive regulation of cell development",NA,"cell morphogenesis","olfactory bulb interneuron development","atrial septum development","stem cell proliferation",NA,"vesicle-mediated transport in synapse",NA,"regulation of sister chromatid cohesion",NA
"114",NA,"head development","mesoderm formation",NA,"G protein-coupled acetylcholine receptor signaling pathway","corticospinal tract morphogenesis","hepatocyte proliferation","peptidyl-tyrosine autophosphorylation",NA,"salivary gland morphogenesis",NA,"positive regulation of binding",NA
"115",NA,"positive regulation of T cell activation","chondrocyte proliferation",NA,"regulation of multicellular organismal development","negative regulation of chemokine-mediated signaling pathway","epithelial cell proliferation involved in liver morphogenesis","developmental process",NA,"mesenchymal cell differentiation",NA,"regulation of nervous system development",NA
"116",NA,"response to lipoprotein particle","vocalization behavior",NA,"animal organ morphogenesis","observational learning","reproductive structure development","negative regulation of developmental process",NA,"regulation of circadian rhythm",NA,"negative regulation of cell death",NA
"117",NA,"regulation of lymphocyte proliferation","cell differentiation",NA,"wound healing","positive regulation of vascular endothelial growth factor signaling pathway","positive regulation of multicellular organismal process","cell proliferation",NA,"regulation of extent of cell growth",NA,"cholesterol transport",NA
"118",NA,"regulation of mononuclear cell proliferation","nephron tubule morphogenesis",NA,"negative regulation of macromolecule metabolic process","regulation of cell communication","negative regulation of nitrogen compound metabolic process","second-messenger-mediated signaling",NA,"metencephalon development",NA,"generation of neurons",NA
"119",NA,"leukocyte cell-cell adhesion","circulatory system development",NA,"ossification","tube closure","positive regulation of locomotion","cellular calcium ion homeostasis",NA,"negative regulation of developmental growth",NA,"modulation by host of viral process",NA
"120",NA,"hair follicle morphogenesis","mesoderm morphogenesis",NA,"astrocyte differentiation","regulation of presynapse organization","reproductive system development","regulation of developmental process",NA,"developmental cell growth",NA,"negative regulation of nervous system development",NA
"121",NA,"cell-substrate junction assembly","positive regulation of multicellular organismal process",NA,"positive regulation of NIK/NF-kappaB signaling","ossification","DNA conformation change","animal organ development",NA,"salivary gland development",NA,"tooth mineralization",NA
"122",NA,"response to chemical","nephron epithelium morphogenesis",NA,"mesenchyme development","negative regulation of multicellular organismal process","bone remodeling","positive regulation of smooth muscle cell migration",NA,"hindlimb morphogenesis",NA,"amelogenesis",NA
"123",NA,"cellular response to lipoprotein particle stimulus","positive regulation of transcription of Notch receptor target",NA,"regulation of cell migration","appendage development","positive regulation of secretion by cell","negative regulation of organelle assembly",NA,"axon extension involved in axon guidance",NA,"hair follicle development",NA
"124",NA,"negative regulation of protein binding","renal tubule morphogenesis",NA,"endoderm development","limb development","proteasome-mediated ubiquitin-dependent protein catabolic process","cytoskeleton organization",NA,"neuron projection extension involved in neuron projection guidance",NA,"regulation of neural precursor cell proliferation",NA
"125",NA,"regulation of cellular component movement","nephron morphogenesis",NA,"negative regulation of ossification","cellular response to growth factor stimulus","cellular response to endogenous stimulus","regulation of cell growth",NA,"postsynaptic membrane organization",NA,"regulation of cell morphogenesis involved in differentiation",NA
"126",NA,"regulation of protein binding","reproductive structure development",NA,"anatomical structure formation involved in morphogenesis","regulation of signaling","positive regulation of mitotic sister chromatid segregation","myelination",NA,"semaphorin-plexin signaling pathway",NA,"negative regulation of cell projection organization",NA
"127",NA,"muscle cell differentiation","reproductive system development",NA,"negative regulation of nitrogen compound metabolic process","membrane biogenesis","liver morphogenesis","calcium ion homeostasis",NA,"dendrite development",NA,"positive regulation of sterol transport",NA
"128",NA,"regulation of leukocyte proliferation","brain development",NA,"regulation of nitrogen compound metabolic process","primary neural tube formation","regulation of organelle organization","positive regulation of nucleobase-containing compound metabolic process",NA,"morphogenesis of an epithelium",NA,"positive regulation of cholesterol transport",NA
"129",NA,"actin cytoskeleton reorganization","chemotaxis",NA,"response to hormone","heart development","positive regulation of peptide secretion","ensheathment of neurons",NA,"regulation of axon guidance",NA,"molting cycle process",NA
"130",NA,"positive regulation of leukocyte cell-cell adhesion","taxis",NA,"regulation of macromolecule metabolic process","blood vessel development","negative regulation of macromolecule biosynthetic process","axon ensheathment",NA,"brain development",NA,"hair cycle process",NA
"131",NA,"epidermis morphogenesis","tongue development",NA,"cellular protein metabolic process","positive regulation of fibroblast growth factor receptor signaling pathway","response to endoplasmic reticulum stress","negative chemotaxis",NA,"movement of cell or subcellular component",NA,"positive regulation of histone modification",NA
"132",NA,"neuron projection morphogenesis","positive regulation of developmental process",NA,"macromolecule modification","regulation of heart induction","regulation of cellular response to growth factor stimulus","regulation of cellular component biogenesis",NA,"stem cell differentiation",NA,"skin epidermis development",NA
"133",NA,"regulation of transcription initiation from RNA polymerase II promoter","cell-cell signaling",NA,"positive regulation of insulin receptor signaling pathway","ventricular septum morphogenesis","cytoplasmic sequestering of protein","ERBB signaling pathway",NA,"regulation of neuron migration",NA,"regulation of cell differentiation",NA
"134",NA,"integrin-mediated signaling pathway","cellular developmental process",NA,"negative regulation of transforming growth factor beta receptor signaling pathway","synapse assembly","protein localization to cell junction","ameboidal-type cell migration",NA,"cell adhesion",NA,"protein-lipid complex remodeling",NA
"135",NA,"molting cycle","subpallium development",NA,"cell morphogenesis involved in differentiation","regulation of cellular response to growth factor stimulus","regulation of cell motility",NA,NA,"cell recognition",NA,"plasma lipoprotein particle remodeling",NA
"136",NA,"hair cycle","metanephros development",NA,"regulation of cellular response to stress","regulation of synapse assembly","negative regulation of cell death",NA,NA,"biological adhesion",NA,"neuron differentiation",NA
"137",NA,"positive regulation of MAPK cascade","cell adhesion",NA,"regulation of cellular response to growth factor stimulus","cell migration","positive regulation of chromosome organization",NA,NA,"chemotaxis",NA,"positive regulation of neurogenesis",NA
"138",NA,"Wnt signaling pathway","positive regulation of Wnt signaling pathway",NA,"cell differentiation","response to growth factor","regulation of secretion by cell",NA,NA,"exocrine system development",NA,"positive regulation of organelle organization",NA
"139",NA,"plasma membrane bounded cell projection morphogenesis","biological adhesion",NA,"negative regulation of cellular response to transforming growth factor beta stimulus","embryonic morphogenesis","regulation of cellular macromolecule biosynthetic process",NA,NA,"regulation of dendritic spine morphogenesis",NA,"regulation of ossification",NA
"140",NA,"cell-cell signaling by wnt","head development",NA,"adenylate cyclase-activating adrenergic receptor signaling pathway","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules","response to stress",NA,NA,"taxis",NA,"sterol transport",NA
"141",NA,"cellular component biogenesis","nephron tubule development",NA,"cellular component morphogenesis","negative regulation of nervous system development","nitrogen compound transport",NA,NA,"regulation of filopodium assembly",NA,"protein-containing complex remodeling",NA
"142",NA,"regulation of cell adhesion","outflow tract septum morphogenesis",NA,"positive regulation of cell communication","auditory behavior","negative regulation of mRNA metabolic process",NA,NA,NA,NA,"negative regulation of response to stimulus",NA
"143",NA,"cell projection morphogenesis","cartilage development",NA,"positive regulation of signaling","trans-synaptic signaling by trans-synaptic complex","regulation of cellular biosynthetic process",NA,NA,NA,NA,"modification of morphology or physiology of other organism involved in symbiotic interaction",NA
"144",NA,"myoblast fusion","regionalization",NA,"modulation by host of viral process","neural tube formation","regulation of mRNA stability",NA,NA,NA,NA,"regulation of hair cycle",NA
"145",NA,"transcription preinitiation complex assembly","regulation of developmental process",NA,"acetylcholine receptor signaling pathway","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","adrenal gland development",NA,NA,NA,NA,"negative regulation of apoptotic process",NA
"146",NA,"axon development","renal tubule development",NA,"signal transduction involved in cellular response to ammonium ion","vasculature development","response to endogenous stimulus",NA,NA,NA,NA,"regulation of protein binding",NA
"147",NA,"regulation of binding","cell proliferation in forebrain",NA,"response to stress","cardiovascular system development","regulation of neural precursor cell proliferation",NA,NA,NA,NA,"positive regulation of microtubule polymerization",NA
"148",NA,"positive regulation of lipid kinase activity","central nervous system development",NA,"positive regulation of response to stimulus","regulation of cell morphogenesis involved in differentiation","peptide secretion",NA,NA,NA,NA,"embryonic forelimb morphogenesis",NA
"149",NA,"regulation of cell activation","bone development",NA,"positive regulation of cellular response to insulin stimulus","heart induction","regulation of morphogenesis of an epithelium",NA,NA,NA,NA,"negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage",NA
"150",NA,"cell part morphogenesis","roof of mouth development",NA,"response to cAMP","olfactory bulb interneuron differentiation","positive regulation of cell differentiation",NA,NA,NA,NA,"chondrocyte differentiation",NA
"151",NA,"regulation of activated T cell proliferation","transcription by RNA polymerase II",NA,"response to acetylcholine","regulation of chemokine-mediated signaling pathway","DNA biosynthetic process",NA,NA,NA,NA,"regulation of neuron apoptotic process",NA
"152",NA,"endocytosis","developmental process involved in reproduction",NA,"cellular response to acetylcholine","asymmetric stem cell division","decidualization",NA,NA,NA,NA,"response to nutrient",NA
"153",NA,"skeletal muscle tissue regeneration","mesodermal cell differentiation",NA,"regulation of epithelial to mesenchymal transition","vascular endothelial growth factor signaling pathway","cell cycle process",NA,NA,NA,NA,"regulation of neuron differentiation",NA
"154",NA,"response to external stimulus","cartilage development involved in endochondral bone morphogenesis",NA,"transforming growth factor beta receptor signaling pathway","response to mechanical stimulus","positive regulation of secretion",NA,NA,NA,NA,"positive regulation of chromatin organization",NA
"155",NA,"extracellular matrix organization","epithelial tube branching involved in lung morphogenesis",NA,"adrenergic receptor signaling pathway","regulation of cation transmembrane transport","negative regulation of cellular biosynthetic process",NA,NA,NA,NA,"positive regulation of multicellular organism growth",NA
"156",NA,"viral process","cell communication",NA,"extracellular matrix assembly","regulation of cell-substrate adhesion","regulation of cellular component biogenesis",NA,NA,NA,NA,"neuron projection morphogenesis",NA
"157",NA,"negative regulation of T cell differentiation","basement membrane organization",NA,"negative regulation of cellular component movement","positive regulation of kinase activity","regulation of cell death",NA,NA,NA,NA,"regulation of epithelial cell proliferation",NA
"158",NA,"positive regulation of lymphocyte proliferation","negative regulation of neuron differentiation",NA,"regulation of primary metabolic process","heart valve morphogenesis","regulation of RNA stability",NA,NA,NA,NA,"regulation of mesenchymal cell proliferation",NA
"159",NA,"positive regulation of mononuclear cell proliferation","skeletal system morphogenesis",NA,"regulation of ossification","mechanosensory behavior","epithelium development",NA,NA,NA,NA,"regulation of amyloid-beta formation",NA
"160",NA,"regulation of macrophage migration","metanephros morphogenesis",NA,"DNA metabolic process","forebrain neuron differentiation","viral life cycle",NA,NA,NA,NA,"negative regulation of programmed cell death",NA
"161",NA,"lymphocyte proliferation","proximal/distal pattern formation",NA,"negative regulation of locomotion","presynapse assembly","cardiac atrium morphogenesis",NA,NA,NA,NA,"negative regulation of neuron differentiation",NA
"162",NA,"mononuclear cell proliferation","regulation of transcription, DNA-templated",NA,"negative regulation of response to stimulus","negative regulation of locomotion","cell-cell signaling involved in cardiac conduction",NA,NA,NA,NA,"epithelial cell development",NA
"163",NA,"regulation of DNA-templated transcription, initiation","mesenchymal cell differentiation",NA,"negative regulation of metabolic process","skeletal system morphogenesis","cell cycle",NA,NA,NA,NA,"amyloid-beta clearance",NA
"164",NA,"activated T cell proliferation","fibroblast growth factor receptor signaling pathway",NA,"endochondral ossification","protein localization to cell periphery","response to antibiotic",NA,NA,NA,NA,"endothelial cell differentiation",NA
"165",NA,"regulation of biological process","regulation of transcription by RNA polymerase II",NA,"replacement ossification","embryonic limb morphogenesis","response to drug",NA,NA,NA,NA,"negative regulation of cell differentiation",NA
"166",NA,"striated muscle cell differentiation","regulation of plasma membrane bounded cell projection organization",NA,"developmental growth","embryonic appendage morphogenesis","regulation of biosynthetic process",NA,NA,NA,NA,"negative regulation of signal transduction",NA
"167",NA,"positive regulation of cell adhesion","columnar/cuboidal epithelial cell differentiation",NA,"response to wounding","regulation of osteoblast differentiation","macromolecule catabolic process",NA,NA,NA,NA,"negative regulation of nitrogen compound metabolic process",NA
"168",NA,"regulation of cell development","mammary gland duct morphogenesis",NA,"regulation of NIK/NF-kappaB signaling","regulation of postsynaptic density assembly","response to stimulus",NA,NA,NA,NA,"positive regulation of microtubule polymerization or depolymerization",NA
"169",NA,"regulation of lymphocyte activation","positive regulation of neuron differentiation",NA,"negative regulation of cellular metabolic process","negative regulation of neuron migration","negative regulation of biosynthetic process",NA,NA,NA,NA,"negative regulation of protein metabolic process",NA
"170",NA,"syncytium formation by plasma membrane fusion","regulation of cell projection organization",NA,"regulation of cell-substrate adhesion","embryonic epithelial tube formation","regulation of locomotion",NA,NA,NA,NA,"negative regulation of molecular function",NA
"171",NA,"cell-cell fusion","formation of primary germ layer",NA,"regulation of growth","presynapse organization","interaction with host",NA,NA,NA,NA,"platelet degranulation",NA
"172",NA,"positive regulation of leukocyte proliferation","cell fate commitment",NA,"cellular response to vitamin","cell-substrate adhesion","negative regulation of neuron death",NA,NA,NA,NA,"positive regulation of cytoskeleton organization",NA
"173",NA,"growth","regulation of nucleic acid-templated transcription",NA,"cellular response to monoamine stimulus","cardiac muscle contraction","negative regulation of metabolic process",NA,NA,NA,NA,"positive regulation of multicellular organismal process",NA
"174",NA,"symbiont process","regulation of presynapse assembly",NA,"cellular response to catecholamine stimulus","regulation of cell morphogenesis","proteasomal protein catabolic process",NA,NA,NA,NA,"endothelial cell migration",NA
"175",NA,"kidney epithelium development","regulation of RNA biosynthetic process",NA,"posttranscriptional regulation of gene expression","cell motility","cell surface receptor signaling pathway",NA,NA,NA,NA,"regulation of localization",NA
"176",NA,NA,"positive regulation of dendrite morphogenesis",NA,"response to organic cyclic compound","localization of cell","protein folding",NA,NA,NA,NA,"positive regulation of nervous system development",NA
"177",NA,NA,"regulation of presynapse organization",NA,"insulin-like growth factor receptor signaling pathway","heart valve development","regulation of mRNA catabolic process",NA,NA,NA,NA,"organic hydroxy compound transport",NA
"178",NA,NA,"protein localization to postsynaptic membrane",NA,"lens fiber cell differentiation","regulation of postsynaptic specialization assembly","negative regulation of cellular metabolic process",NA,NA,NA,NA,"regulation of proteolysis",NA
"179",NA,NA,"developmental growth involved in morphogenesis",NA,"positive regulation of response to DNA damage stimulus","regulation of postsynapse assembly","negative regulation of Wnt signaling pathway",NA,NA,NA,NA,"modification of morphology or physiology of other organism",NA
"180",NA,NA,"heart development",NA,"cellular response to organic cyclic compound","positive regulation of endothelial cell chemotaxis","regulation of protein complex assembly",NA,NA,NA,NA,"regulation of DNA binding",NA
"181",NA,NA,"forebrain development",NA,"tube development","epithelial tube formation","regulation of secretion",NA,NA,NA,NA,"positive regulation of histone methylation",NA
"182",NA,NA,"heart morphogenesis",NA,"regulation of circadian rhythm","telencephalon cell migration","establishment of mitotic spindle orientation",NA,NA,NA,NA,"forelimb morphogenesis",NA
"183",NA,NA,"gland morphogenesis",NA,"regulation of cellular metabolic process","heart morphogenesis","ATP transport",NA,NA,NA,NA,"regulation of intrinsic apoptotic signaling pathway in response to DNA damage",NA
"184",NA,NA,"stem cell proliferation",NA,"macromolecule metabolic process","regulation of ion transmembrane transporter activity","regulation of endoplasmic reticulum unfolded protein response",NA,NA,NA,NA,"response to external stimulus",NA
"185",NA,NA,"positive regulation of cell projection organization",NA,"negative regulation of signal transduction","positive regulation of synapse assembly","positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway",NA,NA,NA,NA,"stem cell proliferation",NA
"186",NA,NA,"cell surface receptor signaling pathway",NA,"tube morphogenesis","neuronal stem cell division","actin cytoskeleton reorganization",NA,NA,NA,NA,"positive regulation of cell development",NA
"187",NA,NA,"dendrite development",NA,"system process","neuroblast division","transmembrane receptor protein serine/threonine kinase signaling pathway",NA,NA,NA,NA,"sensory organ development",NA
"188",NA,NA,"positive regulation of stem cell proliferation",NA,"glial cell development","regulation of excitatory synapse assembly","negative regulation of biological process",NA,NA,NA,NA,"regulation of osteoblast differentiation",NA
"189",NA,NA,"ossification",NA,"regulation of Wnt signaling pathway","regulation of postsynaptic density organization","positive regulation of BMP signaling pathway",NA,NA,NA,NA,"amyloid-beta formation",NA
"190",NA,NA,"connective tissue development",NA,"cellular response to estradiol stimulus","forebrain cell migration","positive regulation of chromosome segregation",NA,NA,NA,NA,"regulation of endothelial cell differentiation",NA
"191",NA,NA,"regulation of animal organ morphogenesis",NA,"response to monoamine","positive regulation of osteoblast differentiation","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",NA,NA,NA,NA,"regulation of amyloid precursor protein catabolic process",NA
"192",NA,NA,"regulation of myelination",NA,"response to catecholamine","positive regulation of cellular process","mRNA splicing, via spliceosome",NA,NA,NA,NA,"neuron apoptotic process",NA
"193",NA,NA,"digestive tract morphogenesis",NA,"eye development","forebrain generation of neurons","regulation of chromosome organization",NA,NA,NA,NA,"dendrite development",NA
"194",NA,NA,"sex differentiation",NA,"formation of primary germ layer","positive regulation of transferase activity","RNA splicing, via transesterification reactions",NA,NA,NA,NA,"negative regulation of angiogenesis",NA
"195",NA,NA,"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules",NA,"cellular response to peptide","appendage morphogenesis","cardiac atrium development",NA,NA,NA,NA,"regulation of cytoskeleton organization",NA
"196",NA,NA,"embryonic cranial skeleton morphogenesis",NA,"positive regulation of cell migration","limb morphogenesis","Wnt signaling pathway",NA,NA,NA,NA,"regulation of glycoprotein biosynthetic process",NA
"197",NA,NA,"transcription, DNA-templated",NA,"positive regulation of vascular smooth muscle cell proliferation","regulation of transmembrane transporter activity","cell-cell signaling by wnt",NA,NA,NA,NA,"genitalia development",NA
"198",NA,NA,"myelination",NA,"visual system development","cell surface receptor signaling pathway","regulation of phosphoprotein phosphatase activity",NA,NA,NA,NA,"plasma lipoprotein particle organization",NA
"199",NA,NA,"cell recognition",NA,"regulation of response to DNA damage stimulus","enzyme linked receptor protein signaling pathway","regulation of gastrulation",NA,NA,NA,NA,"negative regulation of catalytic activity",NA
"200",NA,NA,"mammary gland development",NA,"response to cytokine","morphogenesis of embryonic epithelium","adenine nucleotide transport",NA,NA,NA,NA,"endothelium development",NA
